"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Estimate","(X)","43.1%","5.6%","24.5%","5.3%","21.5%","","(X)","44.2%","5.1%","24.0%","3.5%","23.2%","(X)","42.0%","6.1%","25.5%","4.7%","21.7%","(X)","43.8%","5.4%","23.3%","8.9%","18.7%"
"        Margin of Error","(X)","±0.8","±0.4","±0.8","±0.4","±0.7","","(X)","±1.7","±0.7","±1.6","±0.6","±1.4","(X)","±1.2","±0.6","±1.1","±0.6","±0.9","(X)","±1.4","±0.6","±1.3","±0.8","±1.3"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,387,317","383,919","178,615","238,928","242,710","343,145","","449,992","150,280","58,071","67,149","48,147","126,345","665,557","183,811","88,212","140,316","98,336","154,882","271,768","49,828","32,332","31,463","96,227","61,918"
"        Margin of Error","±17,650","±11,005","±7,274","±9,098","±9,653","±11,845","","±9,785","±7,166","±4,459","±4,682","±3,959","±7,151","±12,777","±7,077","±4,780","±7,412","±5,521","±6,624","±6,146","±3,492","±2,730","±2,675","±4,545","±4,198"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.7%","12.9%","17.2%","17.5%","24.7%","","(X)","33.4%","12.9%","14.9%","10.7%","28.1%","(X)","27.6%","13.3%","21.1%","14.8%","23.3%","(X)","18.3%","11.9%","11.6%","35.4%","22.8%"
"        Margin of Error","(X)","±0.7","±0.5","±0.6","±0.6","±0.8","","(X)","±1.4","±0.9","±1.0","±0.8","±1.5","(X)","±0.9","±0.7","±1.0","±0.8","±0.9","(X)","±1.2","±1.0","±0.9","±1.5","±1.5"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","160,847","46,345","21,299","29,252","25,832","38,119","","59,128","19,270","7,202","10,597","4,878","17,181","70,778","20,294","9,817","13,700","11,140","15,827","30,941","6,781","4,280","4,955","9,814","5,111"
"        Margin of Error","±5,590","±3,103","±2,606","±2,762","±2,337","±3,035","","±3,971","±2,378","±1,606","±2,093","±1,091","±2,368","±3,628","±2,317","±1,854","±1,863","±1,467","±2,057","±2,387","±1,008","±836","±874","±1,456","±827"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.8%","13.2%","18.2%","16.1%","23.7%","","(X)","32.6%","12.2%","17.9%","8.2%","29.1%","(X)","28.7%","13.9%","19.4%","15.7%","22.4%","(X)","21.9%","13.8%","16.0%","31.7%","16.5%"
"        Margin of Error","(X)","±1.8","±1.6","±1.4","±1.4","±1.7","","(X)","±3.8","±2.7","±2.9","±1.8","±3.4","(X)","±3.1","±2.4","±2.4","±2.0","±2.5","(X)","±2.8","±2.4","±2.5","±4.2","±2.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78,044","30,385","4,573","16,657","7,726","18,703","","28,549","11,179","1,795","5,704","1,401","8,470","33,607","13,821","1,764","7,129","3,108","7,785","15,888","5,385","1,014","3,824","3,217","2,448"
"        Margin of Error","±3,682","±2,414","±1,149","±2,052","±1,360","±2,580","","±2,564","±1,792","±847","±1,615","±600","±1,860","±2,410","±1,778","±675","±1,427","±922","±1,526","±1,430","±905","±395","±683","±715","±632"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38.9%","5.9%","21.3%","9.9%","24.0%","","(X)","39.2%","6.3%","20.0%","4.9%","29.7%","(X)","41.1%","5.2%","21.2%","9.2%","23.2%","(X)","33.9%","6.4%","24.1%","20.2%","15.4%"
"        Margin of Error","(X)","±2.9","±1.4","±2.4","±1.7","±2.9","","(X)","±6.3","±2.9","±4.7","±2.1","±5.8","(X)","±5.1","±1.9","±3.9","±2.7","±3.9","(X)","±4.7","±2.4","±3.7","±4.2","±3.7"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82,803","15,960","16,726","12,595","18,106","19,416","","30,579","8,091","5,407","4,893","3,477","8,711","37,171","6,473","8,053","6,571","8,032","8,042","15,053","1,396","3,266","1,131","6,597","2,663"
"        Margin of Error","±3,831","±2,032","±2,210","±1,836","±1,761","±2,023","","±2,722","±1,325","±1,243","±1,246","±838","±1,669","±2,489","±1,586","±1,605","±1,238","±1,153","±1,234","±1,475","±466","±760","±481","±1,142","±634"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.3%","20.2%","15.2%","21.9%","23.4%","","(X)","26.5%","17.7%","16.0%","11.4%","28.5%","(X)","17.4%","21.7%","17.7%","21.6%","21.6%","(X)","9.3%","21.7%","7.5%","43.8%","17.7%"
"        Margin of Error","(X)","±2.2","±2.6","±1.9","±2.0","±2.3","","(X)","±3.5","±4.1","±3.6","±2.5","±4.8","(X)","±4.0","±3.7","±3.1","±3.0","±3.3","(X)","±3.1","±4.7","±3.1","±6.1","±3.7"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,493,910","763,097","302,344","528,922","372,634","526,913","","835,433","283,291","111,587","157,911","80,972","201,672","1,142,384","338,164","137,046","281,898","149,698","235,578","516,093","141,642","53,711","89,113","141,964","89,663"
"        Margin of Error","±26,378","±14,005","±9,666","±13,405","±10,044","±13,259","","±16,616","±9,268","±6,815","±8,049","±5,139","±7,867","±15,633","±9,421","±6,592","±9,822","±5,470","±8,343","±9,032","±4,931","±3,105","±4,758","±5,114","±4,005"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.6%","12.1%","21.2%","14.9%","21.1%","","(X)","33.9%","13.4%","18.9%","9.7%","24.1%","(X)","29.6%","12.0%","24.7%","13.1%","20.6%","(X)","27.4%","10.4%","17.3%","27.5%","17.4%"
"        Margin of Error","(X)","±0.5","±0.3","±0.5","±0.4","±0.5","","(X)","±1.0","±0.7","±0.9","±0.6","±0.8","(X)","±0.7","±0.5","±0.8","±0.5","±0.7","(X)","±0.9","±0.5","±0.9","±0.8","±0.7"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,173,660","464,098","80,315","301,176","93,847","234,224","","375,273","155,977","27,859","86,242","16,795","88,400","531,317","203,719","35,832","149,466","39,305","102,995","267,070","104,402","16,624","65,468","37,747","42,829"
"        Margin of Error","±15,316","±10,252","±4,812","±8,925","±4,398","±7,632","","±10,432","±6,879","±3,844","±5,815","±2,426","±4,481","±10,731","±7,019","±2,740","±6,679","±2,889","±5,248","±5,320","±3,876","±1,750","±3,971","±2,725","±2,665"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","39.5%","6.8%","25.7%","8.0%","20.0%","","(X)","41.6%","7.4%","23.0%","4.5%","23.6%","(X)","38.3%","6.7%","28.1%","7.4%","19.4%","(X)","39.1%","6.2%","24.5%","14.1%","16.0%"
"        Margin of Error","(X)","±0.8","±0.4","±0.6","±0.4","±0.6","","(X)","±1.5","±1.0","±1.3","±0.6","±1.2","(X)","±1.1","±0.5","±1.1","±0.5","±0.9","(X)","±1.2","±0.7","±1.4","±1.0","±1.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,320,250","298,999","222,029","227,746","278,787","292,689","","460,160","127,314","83,728","71,669","64,177","113,272","611,067","134,445","101,214","132,432","110,393","132,583","249,023","37,240","37,087","23,645","104,217","46,834"
"        Margin of Error","±17,196","±8,416","±8,390","±8,038","±8,627","±9,031","","±9,988","±5,738","±5,135","±4,854","±4,341","±5,903","±9,298","±5,568","±5,767","±6,006","±5,333","±5,731","±6,304","±2,660","±2,725","±2,349","±4,834","±3,021"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","22.6%","16.8%","17.3%","21.1%","22.2%","","(X)","27.7%","18.2%","15.6%","13.9%","24.6%","(X)","22.0%","16.6%","21.7%","18.1%","21.7%","(X)","15.0%","14.9%","9.5%","41.9%","18.8%"
"        Margin of Error","(X)","±0.6","±0.6","±0.6","±0.6","±0.6","","(X)","±1.2","±1.0","±1.1","±0.9","±1.0","(X)","±0.9","±0.9","±1.0","±0.8","±0.8","(X)","±1.1","±1.0","±0.9","±1.5","±1.2"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","737,183","220,870","75,842","170,225","121,955","148,291","","235,010","81,221","27,527","50,523","20,868","54,871","327,781","91,489","33,382","85,113","53,370","64,427","174,392","48,160","14,933","34,589","47,717","28,993"
"        Margin of Error","±12,621","±8,027","±4,013","±5,639","±4,708","±5,212","","±7,863","±5,568","±2,725","±3,501","±2,383","±3,395","±8,289","±5,598","±2,770","±4,314","±3,555","±3,304","±5,133","±2,928","±1,539","±2,470","±2,459","±2,618"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.0%","10.3%","23.1%","16.5%","20.1%","","(X)","34.6%","11.7%","21.5%","8.9%","23.3%","(X)","27.9%","10.2%","26.0%","16.3%","19.7%","(X)","27.6%","8.6%","19.8%","27.4%","16.6%"
"        Margin of Error","(X)","±0.8","±0.5","±0.7","±0.6","±0.6","","(X)","±1.8","±1.1","±1.4","±1.0","±1.3","(X)","±1.4","±0.8","±1.2","±1.0","±1.0","(X)","±1.5","±0.9","±1.2","±1.3","±1.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","349,065","131,612","24,868","92,848","31,281","68,456","","107,607","43,102","8,682","25,261","5,542","25,020","148,691","52,446","9,982","43,446","12,890","29,927","92,767","36,064","6,204","24,141","12,849","13,509"
"        Margin of Error","±8,180","±5,533","±2,551","±4,293","±2,212","±4,012","","±5,312","±3,932","±1,552","±2,526","±1,284","±2,413","±5,610","±3,912","±1,518","±3,000","±1,431","±2,603","±3,646","±2,641","±977","±2,084","±1,282","±1,894"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37.7%","7.1%","26.6%","9.0%","19.6%","","(X)","40.1%","8.1%","23.5%","5.2%","23.3%","(X)","35.3%","6.7%","29.2%","8.7%","20.1%","(X)","38.9%","6.7%","26.0%","13.9%","14.6%"
"        Margin of Error","(X)","±1.2","±0.7","±1.2","±0.6","±1.0","","(X)","±2.8","±1.5","±2.1","±1.1","±2.0","(X)","±2.0","±1.0","±1.9","±0.9","±1.6","(X)","±2.3","±1.0","±1.9","±1.4","±2.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","388,118","89,258","50,974","77,377","90,674","79,835","","127,403","38,119","18,845","25,262","15,326","29,851","179,090","39,043","23,400","41,667","40,480","34,500","81,625","12,096","8,729","10,448","34,868","15,484"
"        Margin of Error","±7,564","±4,244","±3,417","±4,214","±4,067","±3,500","","±4,476","±2,742","±2,483","±2,497","±1,891","±2,307","±5,389","±3,090","±2,190","±3,173","±3,133","±2,513","±3,240","±1,183","±1,328","±1,324","±2,242","±1,541"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.0%","13.1%","19.9%","23.4%","20.6%","","(X)","29.9%","14.8%","19.8%","12.0%","23.4%","(X)","21.8%","13.1%","23.3%","22.6%","19.3%","(X)","14.8%","10.7%","12.8%","42.7%","19.0%"
"        Margin of Error","(X)","±1.0","±0.8","±1.0","±1.0","±0.8","","(X)","±2.1","±1.8","±1.8","±1.4","±1.5","(X)","±1.6","±1.2","±1.5","±1.5","±1.4","(X)","±1.3","±1.6","±1.6","±2.0","±1.7"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,101,061","438,793","99,087","169,516","97,646","296,019","","354,657","151,227","32,173","52,293","16,049","102,915","475,275","191,097","42,573","82,497","34,280","124,828","271,129","96,469","24,341","34,726","47,317","68,276"
"        Margin of Error","±16,864","±11,713","±5,763","±7,424","±5,014","±8,087","","±9,460","±7,458","±3,384","±4,136","±1,939","±5,098","±12,083","±7,116","±3,922","±5,580","±2,951","±6,134","±6,624","±4,456","±2,401","±2,653","±3,347","±4,074"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","39.9%","9.0%","15.4%","8.9%","26.9%","","(X)","42.6%","9.1%","14.7%","4.5%","29.0%","(X)","40.2%","9.0%","17.4%","7.2%","26.3%","(X)","35.6%","9.0%","12.8%","17.5%","25.2%"
"        Margin of Error","(X)","±0.9","±0.5","±0.6","±0.4","±0.7","","(X)","±1.6","±0.9","±1.1","±0.5","±1.4","(X)","±1.3","±0.8","±1.1","±0.6","±1.1","(X)","±1.5","±0.9","±0.9","±1.1","±1.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","520,181","248,725","28,210","95,629","23,750","123,867","","156,003","79,037","7,230","27,384","3,090","39,262","226,454","106,270","12,918","45,335","7,904","54,027","137,724","63,418","8,062","22,910","12,756","30,578"
"        Margin of Error","±10,475","±8,531","±2,745","±5,283","±2,323","±4,682","","±6,272","±5,026","±1,485","±3,066","±918","±2,948","±7,201","±5,231","±1,873","±3,512","±1,562","±3,620","±4,471","±3,875","±1,391","±2,129","±1,673","±2,649"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","47.8%","5.4%","18.4%","4.6%","23.8%","","(X)","50.7%","4.6%","17.6%","2.0%","25.2%","(X)","46.9%","5.7%","20.0%","3.5%","23.9%","(X)","46.0%","5.9%","16.6%","9.3%","22.2%"
"        Margin of Error","(X)","±1.2","±0.5","±0.9","±0.4","±0.9","","(X)","±2.2","±0.9","±1.8","±0.6","±1.8","(X)","±1.9","±0.8","±1.4","±0.7","±1.4","(X)","±2.4","±1.0","±1.4","±1.2","±1.8"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","580,880","190,068","70,877","73,887","73,896","172,152","","198,654","72,190","24,943","24,909","12,959","63,653","248,821","84,827","29,655","37,162","26,376","70,801","133,405","33,051","16,279","11,816","34,561","37,698"
"        Margin of Error","±9,472","±6,994","±4,929","±5,296","±4,402","±6,523","","±6,699","±4,614","±3,138","±3,021","±1,824","±4,121","±8,106","±4,028","±3,067","±3,809","±2,536","±4,998","±4,211","±2,635","±1,883","±1,340","±3,069","±2,879"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","32.7%","12.2%","12.7%","12.7%","29.6%","","(X)","36.3%","12.6%","12.5%","6.5%","32.0%","(X)","34.1%","11.9%","14.9%","10.6%","28.5%","(X)","24.8%","12.2%","8.9%","25.9%","28.3%"
"        Margin of Error","(X)","±1.2","±0.8","±0.9","±0.7","±1.1","","(X)","±2.1","±1.4","±1.5","±0.9","±1.8","(X)","±1.5","±1.1","±1.4","±1.0","±1.7","(X)","±1.8","±1.4","±0.9","±2.0","±2.1"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,164,985","1,070,986","343,931","612,728","415,369","721,971","","1,075,392","393,356","118,711","195,878","85,035","282,412","1,417,024","471,905","156,130","314,372","163,264","311,353","672,569","205,725","69,090","102,478","167,070","128,206"
"        Margin of Error","±22,626","±15,867","±9,464","±12,549","±8,195","±12,554","","±16,371","±12,719","±5,878","±8,545","±4,561","±9,938","±16,249","±10,579","±5,123","±9,258","±6,394","±8,707","±9,375","±6,173","±4,191","±5,304","±5,074","±5,372"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.8%","10.9%","19.4%","13.1%","22.8%","","(X)","36.6%","11.0%","18.2%","7.9%","26.3%","(X)","33.3%","11.0%","22.2%","11.5%","22.0%","(X)","30.6%","10.3%","15.2%","24.8%","19.1%"
"        Margin of Error","(X)","±0.4","±0.3","±0.4","±0.2","±0.4","","(X)","±1.0","±0.5","±0.8","±0.4","±0.8","(X)","±0.6","±0.4","±0.6","±0.4","±0.5","(X)","±0.8","±0.6","±0.7","±0.6","±0.8"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,502,926","634,547","85,758","353,619","107,317","321,685","","488,643","209,935","29,438","109,545","16,463","123,262","666,793","278,368","38,103","170,241","39,943","140,138","347,490","146,244","18,217","73,833","50,911","58,285"
"        Margin of Error","±14,388","±13,030","±4,916","±8,464","±4,632","±9,368","","±10,423","±8,521","±3,388","±5,754","±2,425","±7,509","±10,832","±8,648","±2,789","±6,269","±3,212","±6,263","±6,517","±5,412","±1,961","±4,292","±2,763","±3,741"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.2%","5.7%","23.5%","7.1%","21.4%","","(X)","43.0%","6.0%","22.4%","3.4%","25.2%","(X)","41.7%","5.7%","25.5%","6.0%","21.0%","(X)","42.1%","5.2%","21.2%","14.7%","16.8%"
